YEAR,SEMESTER,COURSENO,SECLEC,SECLAB,GRADE,credit
2561,1,001101,092,000,B,3
2561,1,206161,005,000,D+,3
2561,1,207105,004,000,D,3
2561,1,207115,000,017,B+,1
2561,1,259104,003,000,C,3
2561,1,259106,000,003,C,1
2561,1,259191,000,009,S,1
2561,1,261103,001,000,A,3
2561,1,400110,001,000,W,3
2561,2,001102,047,000,C,3
2561,2,206162,003,000,D+,3
2561,2,207106,001,000,F,3
2561,2,207116,000,011,B,1
2561,2,259108,001,000,B+,3
2561,2,261102,001,000,C,3
2561,2,751100,011,000,C,3
2562,1,001201,029,000,D+,3
2562,1,206261,004,000,W,3
2562,1,252211,003,000,F,3
2562,1,261200,001,000,B+,3
2562,1,261216,001,000,B,3
2562,1,261217,001,000,F,3
2562,2,001225,011,000,C,3
2562,2,201116,001,000,B+,3
2562,2,206261,001,000,C+,3
2562,2,261207,000,001,C+,2
2562,2,261218,001,000,C+,3
2562,2,261332,001,000,B,3
2562,2,400110,001,000,C+,3
2563,1,252211,002,000,C,3
2563,1,261217,002,000,B+,3
2563,1,261335,001,000,B,3
2563,1,261336,000,001,B+,1
2563,1,261342,001,000,B,3
2563,1,261343,000,001,C,1
2563,1,703103,003,000,C+,3
2563,2,006341,001,000,B+,3
2563,2,207106,003,000,D+,3
2563,2,259194,000,004,S,1
2563,2,261208,001,000,C+,3
2563,2,261306,001,000,C,3
2563,2,261361,001,000,B,3
2563,2,261430,001,000,A,3
2563,2,261494,001,000,B+,3
2564,1,261210,001,000,B,3
2564,1,261212,000,001,A,1
2564,1,261304,001,000,D,3
2564,1,261405,003,000,C,3
2564,1,261408,001,000,A,3
2564,1,261491,000,003,S,1
2564,1,261494,008,000,A,3
2564,1,269421,001,000,W,3
2564,2,013217,001,000,B,3
2564,2,057138,001,000,A,3
2564,2,259192,000,001,S,1
2564,2,261214,001,000,A,3
2564,2,261215,000,001,B+,1
2564,2,261305,001,000,A,3
2564,2,261492,000,003,P,3
2565,1,070413,001,000,
2565,1,261409,001,000,
2565,1,261469,001,000,
2565,1,269462,001,000,
